@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
166,'2018/04/04 20:23:52:117',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
167,'2018/04/04 20:23:52:214',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
168,'2018/04/04 20:23:52:276',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
169,'2018/04/04 20:23:52:636',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
170,'2018/04/04 20:23:52:710',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
171,'2018/04/04 20:23:52:809',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
172,'2018/04/04 20:23:52:917',2,304.33313,419.530884,46.671711,328.681091,390.68927,55.495728,268.285217,333.909729,59.811413,316.449524,297.390717,56.400833,389.446686,297.923676,54.405346,0.913016,0.635551,0.952094,0.699782,0.447726
173,'2018/04/04 20:23:52:965',2,282.477448,431.961609,43.815277,336.680176,413.91391,55.875153,295.715881,366.328491,62.117626,346.959564,335.099518,60.920185,413.019165,327.731262,57.301178,0.913016,0.635551,0.952094,0.699782,0.447726
174,'2018/04/04 20:23:53:153',2,263.638794,425.359619,41.86013,310.730774,407.90686,58.799839,309.677795,380.871613,63.134918,368.406128,358.493439,63.209614,433.381104,350.222656,59.619675,0.913016,0.635551,0.952094,0.699782,0.447726
175,'2018/04/04 20:23:53:225',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
176,'2018/04/04 20:23:53:277',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
177,'2018/04/04 20:23:53:331',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
178,'2018/04/04 20:23:53:458',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
179,'2018/04/04 20:23:53:570',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
180,'2018/04/04 20:23:53:764',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
181,'2018/04/04 20:23:53:821',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
182,'2018/04/04 20:23:53:925',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
183,'2018/04/04 20:23:53:992',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
184,'2018/04/04 20:23:54:052',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
185,'2018/04/04 20:23:54:103',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
186,'2018/04/04 20:23:54:188',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
187,'2018/04/04 20:23:54:265',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
188,'2018/04/04 20:23:54:508',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
189,'2018/04/04 20:23:54:561',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
190,'2018/04/04 20:23:54:719',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
191,'2018/04/04 20:23:54:780',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
192,'2018/04/04 20:23:54:868',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
