@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1722,'2018/04/09 15:37:49:335',8,522.463989,336.158264,39.969521,446.589142,336.33551,63.03484,386.643341,335.548401,66.959869,312.563354,334.968384,65.910667,245.089996,340.829346,60.298073,0,0,0,0,0
1723,'2018/04/09 15:37:49:386',8,523.058167,336.642639,39.92408,447.294525,336.5625,62.98513,387.362762,335.602356,66.915108,313.295898,334.903381,65.867714,245.762726,340.674744,60.264435,0,0,0,0,0
1724,'2018/04/09 15:37:49:437',8,523.620728,337.154724,39.913795,448.086578,336.703125,62.97327,388.18924,335.591431,66.911888,314.14093,334.805603,65.871399,246.517776,340.526428,60.286686,0,0,0,0,0
1725,'2018/04/09 15:37:49:484',8,524.007629,337.559326,39.953285,448.487427,336.918335,62.997192,388.599823,335.747864,66.93383,314.5672,334.825745,65.893555,246.920471,340.522797,60.315231,0,0,0,0,0
1726,'2018/04/09 15:37:49:534',8,524.289917,337.430603,40.006332,448.84668,336.734192,63.037502,388.991272,335.610077,66.973427,314.953491,334.603668,65.93988,247.30098,340.38623,60.370129,0,0,0,0,0
1727,'2018/04/09 15:37:49:584',8,524.420898,337.265198,40.067348,448.96283,336.513,63.084049,389.136871,335.383606,67.015656,315.095276,334.220001,65.985123,247.438141,340.002075,60.41782,0,0,0,0,0
1728,'2018/04/09 15:37:49:634',8,523.862488,336.8349,40.150623,448.383911,336.326202,63.156731,388.551422,335.295288,67.085381,314.512085,334.213257,66.052277,246.883163,340.00946,60.484623,0,0,0,0,0
1729,'2018/04/09 15:37:49:684',8,522.415588,336.909271,40.271027,446.409271,336.648682,63.242794,386.499847,335.611725,67.148552,312.492859,334.402466,66.089447,244.961792,340.016235,60.494553,0,0,0,0,0
1730,'2018/04/09 15:37:49:734',8,519.913208,336.975159,40.370636,443.532379,336.994385,63.310211,383.578796,335.916626,67.199028,309.600342,334.533203,66.121155,242.122421,339.919495,60.505898,0,0,0,0,0
1731,'2018/04/09 15:37:49:784',8,516.250061,337.153992,40.443123,439.68219,337.299591,63.349922,379.709351,336.170166,67.225807,305.758484,334.592224,66.135666,238.285812,339.726746,60.508057,0,0,0,0,0
1732,'2018/04/09 15:37:49:834',8,510.989777,338.036865,40.576126,433.818665,338.467346,63.39856,373.791901,337.168854,67.245316,299.894531,335.262268,66.119453,232.504684,339.940735,60.455696,0,0,0,0,0
1733,'2018/04/09 15:37:49:884',8,503.843201,340.097839,40.903282,424.670654,340.102112,63.537262,364.762909,337.789856,67.325722,290.758942,335.294678,66.106934,223.677002,339.664368,60.374355,0,0,0,0,0
1734,'2018/04/09 15:37:49:934',8,495.038055,341.93988,40.946178,415.850311,341.945435,63.43071,356.778931,339.251434,67.202438,281.979279,335.809601,66.017342,214.883026,340.031067,60.279037,0,0,0,0,0
1735,'2018/04/09 15:37:49:984',8,485.554535,343.804169,40.923256,408.338135,343.406372,63.209362,350.917816,341.00885,66.962845,274.703979,335.93457,65.9841,207.292068,340.451416,60.325516,0,0,0,0,0
1736,'2018/04/09 15:37:50:034',8,476.241516,345.133911,40.661568,404.096954,342.425293,62.685627,348.890869,339.98114,66.482605,271.52594,333.026794,65.902496,203.106918,338.338745,60.506512,0,0,0,0,0
1737,'2018/04/09 15:37:50:085',8,466.028748,344.91748,40.57959,396.502747,341.295258,62.274521,343.171783,338.626831,66.07029,265.421143,330.706635,65.782089,196.549774,336.670471,60.602219,0,0,0,0,0
1738,'2018/04/09 15:37:50:134',8,454.245605,344.753998,40.675884,386.267548,341.316895,62.058685,334.139862,338.171143,65.891571,256.841675,330.981201,65.726463,187.776733,336.72406,60.693893,0,0,0,0,0
1739,'2018/04/09 15:37:50:184',8,442.034241,345.30957,40.988449,374.917999,341.597107,62.017792,323.225494,338.405334,65.847786,246.371078,331.896912,65.687637,177.498444,337.433441,60.693054,0,0,0,0,0
1740,'2018/04/09 15:37:50:234',8,429.870087,345.313751,41.184372,363.73996,340.654541,61.857651,312.309082,338.720551,65.623688,235.390488,331.550171,65.511276,166.639893,337.251465,60.520695,0,0,0,0,0
1741,'2018/04/09 15:37:50:284',8,418.503418,346.054626,41.454971,352.43219,340.554352,61.737602,301.689911,337.908752,65.546028,224.89827,330.615723,65.382484,156.260971,336.310822,60.380707,0,0,0,0,0
1742,'2018/04/09 15:37:50:334',8,408.56076,346.545868,41.696671,341.517334,340.530518,61.577778,291.649048,336.141449,65.461082,215.041351,329.214966,65.207054,146.765015,335.279388,60.177307,0,0,0,0,0
1743,'2018/04/09 15:37:50:384',8,398.982605,347.589752,42.025745,331.318542,340.000153,61.552277,281.783264,334.745667,65.451385,205.661331,328.696106,65.091255,138.026154,335.461731,60.035477,0,0,0,0,0
1744,'2018/04/09 15:37:50:434',8,389.491211,348.879395,42.223358,321.072754,340.617767,61.494095,272.016846,334.698975,65.41732,196.648285,329.564392,64.971565,129.764709,336.858154,59.888725,0,0,0,0,0
1745,'2018/04/09 15:37:50:484',8,380.195282,349.852478,42.41449,310.263702,342.006104,61.528339,261.566528,335.83783,65.440346,186.944244,331.310822,64.906082,120.740814,338.731934,59.767963,0,0,0,0,0
1746,'2018/04/09 15:37:50:534',8,371.817596,351.92511,42.724709,300.541382,343.516907,61.678143,251.64592,337.648621,65.52253,177.468201,332.922485,64.899673,111.780182,340.224884,59.678345,0,0,0,0,0
1747,'2018/04/09 15:37:50:585',8,364.831543,354.742249,42.923386,292.28714,346.436279,61.728165,243.191071,340.835205,65.530159,170.066147,336.691833,64.811264,105.068054,343.567932,59.501328,0,0,0,0,0
1748,'2018/04/09 15:37:50:634',8,360.061279,355.912994,43.132816,285.433594,347.632935,61.769318,236.168243,341.949371,65.514877,163.906448,338.284943,64.706619,99.587097,345.371094,59.327812,0,0,0,0,0
1749,'2018/04/09 15:37:50:685',8,356.363129,356.123657,43.163467,280.569214,348.166687,61.718731,231.203842,342.396545,65.449844,159.157104,338.576355,64.626396,95.103333,345.925873,59.209595,0,0,0,0,0
1750,'2018/04/09 15:37:50:735',8,350.924744,355.983521,43.272041,273.18634,349.341248,61.702633,223.570694,343.394836,65.444038,151.534317,339.088074,64.566048,87.909149,346.680359,59.047806,0,0,0,0,0
1751,'2018/04/09 15:37:50:784',8,342.800446,354.572052,43.252953,262.616058,349.220154,61.561008,213.053268,342.249939,65.336769,141.181091,338.312103,64.361862,78.012054,346.664001,58.767223,0,0,0,0,0
1752,'2018/04/09 15:37:50:835',8,335.229126,353.046143,43.226776,253.533142,347.594482,61.494442,203.9776,340.487427,65.230179,132.252228,337.206238,64.187683,69.448517,346.101715,58.559113,0,0,0,0,0
1753,'2018/04/09 15:37:50:885',8,329.936554,351.286438,43.256435,246.99939,345.201172,61.441956,196.894424,337.884644,65.11525,125.238007,334.947449,63.983566,62.8479,344.755615,58.333347,0,0,0,0,0
1754,'2018/04/09 15:37:50:935',8,324.955933,349.866119,43.291374,240.69548,343.308563,61.407116,190.332062,336.032043,64.987274,119.159363,333.500549,63.77702,57.128815,343.765381,58.119244,0,0,0,0,0
